location,sub_location,site,year,Acanthastrea,Acropora,Astreopora,Cyphastrea,Danafungia,Dipsastrea,Fungiidae_un,Gardineroseris,Herpolitha,Leptastrea,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Millepora,Montipora,Pachyseris,Pavona,Phymastrea,Plesiastrea,Pleuractis,Pocillopora,Porites,Porites_spp_Massive,Poritesirregularis,Poritesrus,Psammocora,Sandolitha,Stylocoeniella,Tubastrea
French_Polynesia,Moorea,LTER2_Outer_10,2009,0,0.0275,0,0,0,0,0.0275,0.04,0,0,0,0,0,0.04,1.0075,0.0375,0,0.0375,0.025,0,0,2.575,1.8425,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER2_Outer_17,2009,0,0,0,0,0,0,0,0,0,0.361538462,0,0,0,0,0.012820513,0,0,0.012820513,0.105128205,0,0,1.071794872,0.874358974,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER3_Fringing,2009,0,1.720512821,0,0,0,0,0.041025641,0,0,0,0,0,0,0,0,5.235897436,0,11.23846154,0,0,0,0,3.802564103,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER3_Outer_10,2009,0,0,0,0.0125,0,0.0125,0,0.0125,0,0.025,0,0,0,0,0,0.0375,0,0.025,0.0775,0,0,0.0525,0.42,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER3_Outer_17,2009,0,0,0,0,0,0,0,0.027777778,0,0.013888889,0,0,0,0,0,0.027777778,0,0,0.030555556,0,0,0.427777778,0.225,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Fringing,2009,0.0125,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,17.505,0,0.0525,0.0125,0,0,0,1.6075,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_10,2009,0,0.571428571,0,0,0,0,0,0.028571429,0,0.18,0,0,0,0,2.437142857,0.654285714,0,0.12,0.44,0,0,12.54285714,1.417142857,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_17,2009,0,0.041025641,0,0.012820513,0,0,0.064102564,0.012820513,0,0,0,0,0,0,0.041025641,0.025641026,0,0.066666667,0.102564103,0,0,1.028205128,0.382051282,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Fringing,2009,0,0,0,0,0,0,0.092307692,0,0,0.025641026,0,0,0,0,0,0.294871795,0,0.253846154,0.012820513,0,0,0.435897436,40.44615385,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Outer_10,2009,0,3,0.156756757,0.02972973,0,0,0.113513514,0.040540541,0,0.845945946,0,0,0,0,0,5.4,0,0.127027027,0.362162162,0,0,12.17837838,3.583783784,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Outer_17,2009,0.012820513,0,0.056410256,0,0,0,0,0.038461538,0,0.105128205,0,0,0,0,0.082051282,0.08974359,0,0.064102564,0.353846154,0,0,0.197435897,5.246153846,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Fringing,2009,0.012820513,0,0,0,0,0,0.025641026,0,0,0,0,0,0,0,0,7.325641026,0,13.12051282,0,0,0,0.766666667,0,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Outer_10,2009,0,0.1175,0.065,0.0125,0,0.0275,0,0.065,0,0.05,0,0,0,0,0.8525,0.295,0,0.09,0.145,0,0,3.73,0.35,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Outer_17,2009,0,0,0,0,0,0,0,0.0275,0,0.0125,0,0,0,0.0125,0,0,0,0.025,0.19,0,0,1.145,0.2325,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER1_Fringing,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275,0,0,0,0,0,0.0125,35.07,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER1_Outer_10,2010,0,0.013157895,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0.192105263,0.092105263,0,0,0,0,0,0.013157895,0.213157895,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER1_Outer_17,2010,0,0,0,0,0,0,0.055263158,0.013157895,0,0,0,0,0,0,0,0.039473684,0,0.013157895,0.026315789,0,0,0.055263158,0.844736842,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER2_Fringing,2010,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0.5,0.04,0,0,0,0,0,0,0.0375,0,0,0.615,38.4125,0.0125,0,0,0
French_Polynesia,Moorea,LTER2_Outer_10,2010,0,0,0,0,0,0,0,0.012820513,0,0,0,0,0,0,0.564102564,1.733333333,0,0.117948718,0.079487179,0,0,0.294871795,1.125641026,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER2_Outer_17,2010,0.038461538,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0.012820513,0.012820513,0,0,0.025641026,0,0,0.051282051,0.574358974,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER3_Fringing,2010,0,2.1825,0,0,0,0,0.0125,0,0,0,0,0,0,0,0.0275,2.1525,0,5.975,0,0,0,0.065,0,2.22,0,0.665,0,0,0,0
French_Polynesia,Moorea,LTER3_Outer_10,2010,0,0,0,0,0,0.045945946,0,0,0,0,0,0,0,0,0.02972973,0.172972973,0,0.027027027,0,0,0,0.159459459,0.148648649,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER3_Outer_17,2010,0.02972973,0,0,0,0,0.013513514,0,0,0.013513514,0,0,0,0,0,0,0.437837838,0,0,0,0,0,0.454054054,0.305405405,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Fringing,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.745,0,0.0275,0,0,0,0,0,1.7025,0,0.0125,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_10,2010,0,0.044444444,0,0,0,0,0,0.027777778,0,0.013888889,0,0,0,0,2.608333333,0.636111111,0,0.013888889,0.202777778,0,0,5.980555556,0.363888889,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_17,2010,0,0.012820513,0,0.038461538,0,0.038461538,0.102564103,0.012820513,0.012820513,0.012820513,0,0,0,0,0.051282051,0.076923077,0,0.038461538,0.21025641,0,0,0.235897436,0.343589744,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Fringing,2010,0,0,0,0,0,0,0,0,0.064102564,0,0,0,0,0,0,0.497435897,0,0.092307692,0,0,0,0.330769231,0,0.207692308,0,41.67179487,0,0,0,0
French_Polynesia,Moorea,LTER5_Outer_10,2010,0,0.121212121,0,0.048484848,0,0,0,0.078787879,0,0.684848485,0.015151515,0,0,0,0,0.978787879,0,0.248484848,0.378787879,0,0,3.593939394,2.566666667,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Outer_17,2010,0,0.0625,0.025,0,0,0,0,0.0375,0,0.0775,0,0,0,0,0.0275,0.105,0,0.0625,0.295,0,0,0.1375,4.4875,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Fringing,2010,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,7.115789474,0,15.02368421,0,0,0,0.307894737,0,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Outer_10,2010,0,0.013888889,0.027777778,0,0,0,0.013888889,0.111111111,0,0.1,0.013888889,0,0,0,0.636111111,0.127777778,0,0.127777778,0.125,0,0,0.35,0.383333333,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Outer_17,2010,0,0.04,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.0625,0,0.0625,0.2125,0,0,0.3275,0.205,0,0,0,0.025,0,0,0
