Location,Sub_location,Site_name,Year,Orbicella_annularis,Agaricia_agaricites,Agaricia_humilis,Colpophyllia_natans,Dendrogyra_cylindrica,Dichocoenia_stokesii,Diploria_labyrinthiformis,Pseudodiploria_strigosa,Eusmilia_fastigiata,Favia_fragum,Madracis_decactis,Montastraea_cavernosa,Orbicella_faveolata,Orbicella_franksi,Meandrina_meandrites,Mussa_angulosa,Porites_astreoides,Porites_porites,Stephanocoenia_intersepta,Siderastrea_radians,Siderastrea_siderea,Madracis_mirabilis,Mancina_areolata,Porites_furcata,Mycetophyllia_aliciae,Acropora_cervicornis,Acropora_palmata,Isophyllia_sinuosa,Scolymia_cubensis,Porites_divaricata,Mycetophyllia_lamarckiana,Total_Coral_Cover
USVI,St_John,Europa_Bay,2011,0.00,0.14,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.04,0.00,0.00,0.03,0.00,0.65,0.38,0.00,0.03,0.40,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72
USVI,St_John,Europa_Bay,2012,0.00,0.00,0.00,0.00,0.12,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.69,0.05,0.00,0.07,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23
USVI,St_John,Europa_Bay,2013,0.00,0.01,0.04,0.00,0.00,0.26,0.01,0.08,0.00,0.03,0.00,0.05,0.14,0.00,0.04,0.00,0.60,0.10,0.00,0.03,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41
USVI,St_John,Europa_Bay,2014,0.00,0.17,0.00,0.00,0.00,0.03,0.04,0.01,0.00,0.00,0.00,0.10,0.00,0.00,0.03,0.00,0.38,0.01,0.01,0.03,1.47,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41
USVI,St_John,Europa_Bay,2015,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.50,0.01,0.03,0.13,1.98,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94
USVI,St_John,Little_Lameshur_Bay,1992,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.18,0.00,0.09,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08
USVI,St_John,Little_Lameshur_Bay,1993,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90
USVI,St_John,Little_Lameshur_Bay,1994,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.44,0.22,0.00,0.03,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.09
USVI,St_John,Little_Lameshur_Bay,1995,0.18,0.09,0.06,0.00,0.24,0.00,0.00,0.00,0.03,0.00,0.00,0.06,0.00,0.15,0.57,0.00,0.15,0.00,0.00,0.12,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41
USVI,St_John,Little_Lameshur_Bay,1996,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,2.13,0.00,0.00,1.07,0.00,0.08,0.03,0.13,0.00,1.06,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78
